"excel_file_name","id","sex","dob","doe","age_months","age_years","age_years_group","location","percentage_correct","ses","within_id","twins","item","acc","subj_acc","quartile","bigger_places","places","length_diff","one_digit_diff_not_zero","transposition","inserting_zero","e3_categories","category","left_num","right_num","left_number_range","right_number_range","item_comparison_unordered","item_comparison","item_type","task"
"Baby Meap Data/sheet: combined data",427,"M","10/9/06","6/19/13",80.42763158,6.702302632,6,"UM",80,1,"10/9/06 6/19/13 M UM","n","123 v 321",1,0.8,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Digit Training/sheet: data",428,"F","1/28/06","10/26/10",56.97368421,4.747807018,4,"Lab",60,NA,"1/28/06 10/26/10 F Lab","n","123 v 321",1,0.6,2,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",429,"F","8/15/07","6/19/13",70.23026316,5.85252193,5,"UM",100,1,"8/15/07 6/19/13 F UM","n","123 v 321",1,1,4,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Digit Training/sheet: data",430,"F","8/29/06","10/20/10",49.76973684,4.14747807,4,"Lab",25,NA,"8/29/06 10/20/10 F Lab","n","123 v 321",1,0.5,1,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",431,"F","11/20/07","6/19/13",67.03947368,5.586622807,5,"UM",60,1,"11/20/07 6/19/13 F UM","n","123 v 321",0,0.6,2,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Digit Training/sheet: data",432,"F","9/8/06","10/20/10",49.44078947,4.120065789,4,"Lab",20,NA,"9/8/06 10/20/10 F Lab","n","123 v 321",0,0.4,1,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",433,"F","3/29/10","6/20/13",38.78289474,3.231907895,3,"Prep School",70,3,"3/29/10 6/20/13 F Prep School","n","123 v 321",1,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",435,"M","9/21/09","6/20/13",45,3.75,3,"Prep School",50,3,"9/21/09 6/20/13 M Prep School","n","123 v 321",0,0.5,1,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",437,"F","8/2/09","6/20/13",46.64473684,3.887061404,3,"Prep School",70,3,"8/2/09 6/20/13 F Prep School","n","123 v 321",1,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Digit Training/sheet: data",438,"F","9/13/04","10/25/10",73.45394737,6.121162281,6,"Lab",90,NA,"9/13/04 10/25/10 F Lab","n","123 v 321",1,0.9,4,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",439,"M","12/12/09","6/20/13",42.30263158,3.525219298,3,"Prep School",80,3,"12/12/09 6/20/13 M Prep School","n","123 v 321",0,0.8,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",440,"F","7/6/08","6/20/13",59.53947368,4.961622807,4,"Prep School",70,3,"7/6/08 6/20/13 F Prep School","n","123 v 321",1,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",441,"F","4/27/08","6/20/13",61.84210526,5.153508772,5,"Prep School",70,3,"4/27/08 6/20/13 F Prep School","n","123 v 321",0,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",442,"F","11/27/07","6/23/13",66.94078947,5.578399123,5,"Prep School",70,3,"11/27/07 6/23/13 F Prep School","n","123 v 321",0,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",443,"F","12/20/08","6/24/13",54.17763158,4.514802632,4,"Prep School",70,3,"12/20/08 6/24/13 F Prep School","n","123 v 321",0,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",444,"F","10/29/10","6/24/13",31.875,2.65625,2,"Prep School",80,3,"10/29/10 6/24/13 F Prep School","n","123 v 321",1,0.8,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",445,"M","7/24/10","6/24/13",35.06578947,2.922149123,2,"Prep School",50,3,"7/24/10 6/24/13 M Prep School","n","123 v 321",0,0.5,1,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",446,"F","12/8/08","6/23/13",54.53947368,4.54495614,4,"Prep School",70,3,"12/8/08 6/23/13 F Prep School","n","123 v 321",1,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",447,"M","5/18/09","6/23/13",49.24342105,4.103618421,4,"Prep School",50,3,"5/18/09 6/23/13 M Prep School","n","123 v 321",0,0.5,1,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",448,"F","2/12/08","6/23/13",64.40789474,5.367324561,5,"Prep School",70,3,"2/12/08 6/23/13 F Prep School","n","123 v 321",0,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",449,"M","1/26/09","6/23/13",52.92763158,4.410635965,4,"Prep School",60,3,"1/26/09 6/23/13 M Prep School","n","123 v 321",0,0.6,2,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",450,"M","7/3/07","6/23/13",71.77631579,5.981359649,5,"Prep School",100,3,"7/3/07 6/23/13 M Prep School","n","123 v 321",1,1,4,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",451,"M","9/11/07","6/23/13",69.47368421,5.789473684,5,"Prep School",80,3,"9/11/07 6/23/13 M Prep School","n","123 v 321",1,0.8,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",452,"M","10/6/09","6/23/13",44.60526316,3.717105263,3,"Prep School",70,3,"10/6/09 6/23/13 M Prep School","n","123 v 321",1,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",453,"F","2/20/10","6/23/13",40.09868421,3.341557018,3,"Prep School",50,3,"2/20/10 6/23/13 F Prep School","n","123 v 321",0,0.5,1,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",454,"F","1/18/09","6/23/13",53.19078947,4.432565789,4,"Prep School",100,3,"1/18/09 6/23/13 F Prep School","n","123 v 321",1,1,4,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",455,"F","12/1/10","7/1/13",31.01973684,2.58497807,2,"Prep School",70,3,"12/1/10 7/1/13 F Prep School","n","123 v 321",1,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",456,"M","2/25/09","7/1/13",52.20394737,4.350328947,4,"Prep School",70,3,"2/25/09 7/1/13 M Prep School","n","123 v 321",1,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",457,"F","7/11/09","7/1/13",47.73026316,3.97752193,3,"Prep School",70,3,"7/11/09 7/1/13 F Prep School","n","123 v 321",0,0.7,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",458,"M","8/22/07","7/1/13",70.39473684,5.86622807,5,"Prep School",80,3,"8/22/07 7/1/13 M Prep School","n","123 v 321",1,0.8,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",459,"M","7/28/08","7/22/13",59.86842105,4.989035088,4,"Harmony",60,3,"7/28/08 7/22/13 M Harmony","n","123 v 321",1,0.6,2,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",460,"M","10/3/06","7/22/13",81.71052632,6.809210526,6,"Harmony",80,3,"10/3/06 7/22/13 M Harmony","n","123 v 321",1,0.8,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",461,"M","5/8/08","7/22/13",62.53289474,5.211074561,5,"Harmony",80,3,"5/8/08 7/22/13 M Harmony","n","123 v 321",1,0.8,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",462,"F","2/20/08","7/22/13",65.09868421,5.424890351,5,"Harmony",30,3,"2/20/08 7/22/13 F Harmony","n","123 v 321",0,0.3,1,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",463,"M","7/23/07","7/22/13",72.07236842,6.006030702,6,"Harmony",100,3,"7/23/07 7/22/13 M Harmony","n","123 v 321",1,1,4,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",464,"F","4/25/08","7/24/13",63.02631579,5.252192982,5,"Harmony",80,3,"4/25/08 7/24/13 F Harmony","n","123 v 321",0,0.8,3,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Baby Meap Data/sheet: combined data",465,"M","4/16/08","7/24/13",63.32236842,5.276864035,5,"Harmony",100,3,"4/16/08 7/24/13 M Harmony","n","123 v 321",1,1,4,3,"3v3","n","n","y","n","3d_trans","M-SP-with-T",123,321,"hundred","hundred","hundred_hundred","hundred_hundred","Transposition","More"
"Meap 3 Data only/sheet: combined data",3,NA,"2/22/09","5/20/13",50.92105263,4.243421053,4,"KA",56.3,1,"2/22/09 5/20/13 NA KA","n","11 v 19",1,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",4,"F","7/17/03","8/13/09",72.99342105,6.082785088,6,"Lab",93.75,NA,"7/17/03 8/13/09 F Lab","n","11 v 19",1,0.9375,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",6,"F","7/29/05","6/23/09",46.88,3.90625,3,"Lab",62.5,NA,"7/29/05 6/23/09 F Lab","n","11 v 19",0,0.625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",10,NA,"12/10/09","5/21/13",41.38157895,3.448464912,3,"KA",50,1,"12/10/09 5/21/13 NA KA","n","11 v 19",1,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",11,"M","7/21/03","10/14/09",74.90131579,6.241776316,6,"Lab",87.5,NA,"7/21/03 10/14/09 M Lab","n","11 v 19",1,0.875,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",13,"M","8/17/05","6/23/09",46.25,3.854166667,3,"Lab",31.25,NA,"8/17/05 6/23/09 M Lab","n","11 v 19",1,0.3125,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",17,NA,"4/26/09","5/21/13",48.88157895,4.073464912,4,"KA",56.3,1,"4/26/09 5/21/13 NA KA","n","11 v 19",1,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",19,"M","8/18/03","8/18/09",72.10526316,6.00877193,6,"Lab",81.25,NA,"8/18/03 8/18/09 M Lab","n","11 v 19",1,0.8125,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",21,"M","7/28/05","6/24/09",46.94,3.911732456,3,"Lab",93.75,NA,"7/28/05 6/24/09 M Lab","n","11 v 19",1,0.9375,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",24,NA,"11/9/08","5/21/13",54.40789474,4.533991228,4,"KA",43.8,1,"11/9/08 5/21/13 NA KA","n","11 v 19",0,0.4375,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",26,"F","12/15/04","8/18/09",56.15131579,4.679276316,4,"Lab",75,NA,"12/15/04 8/18/09 F Lab","n","11 v 19",1,0.75,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",28,"F","3/29/05","6/22/09",50.86,4.237938596,4,"Lab",62.5,NA,"3/29/05 6/22/09 F Lab","n","11 v 19",1,0.625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",31,NA,"2/19/09","5/21/13",51.05263158,4.254385965,4,"KA",50,1,"2/19/09 5/21/13 NA KA","n","11 v 19",1,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",33,"M","8/20/03","8/18/09",72.03947368,6.003289474,6,"Lab",93.75,NA,"8/20/03 8/18/09 M Lab","n","11 v 19",1,0.9375,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",35,"F","8/8/05","6/22/09",46.51,3.876096491,3,"Lab",56.25,NA,"8/8/05 6/22/09 F Lab","n","11 v 19",1,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",38,NA,"12/20/08","5/21/13",53.05921053,4.421600877,4,"KA",50,1,"12/20/08 5/21/13 NA KA","n","11 v 19",0,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",40,"M","7/19/03","8/19/09",73.125,6.09375,6,"Lab",93.75,NA,"7/19/03 8/19/09 M Lab","n","11 v 19",1,0.9375,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",42,"M","1/30/06","6/25/09",40.86,3.404605263,3,"Lab",81.25,NA,"1/30/06 6/25/09 M Lab","n","11 v 19",1,0.8125,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",45,NA,"11/28/08","5/21/13",53.78289474,4.481907895,4,"KA",56.3,1,"11/28/08 5/21/13 NA KA","n","11 v 19",1,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",47,"M","2/7/04","9/9/09",67.13815789,5.594846491,5,"Lab",56.25,NA,"2/7/04 9/9/09 M Lab","n","11 v 19",1,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",49,"M","6/22/03","6/25/09",72.2,6.016995614,6,"Lab",87.5,NA,"6/22/03 6/25/09 M Lab","n","11 v 19",1,0.875,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",54,"F","2/27/05","9/9/09",54.44078947,4.536732456,4,"Lab",81.25,NA,"2/27/05 9/9/09 F Lab","n","11 v 19",1,0.8125,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",56,"F","5/6/04","6/25/09",61.71,5.14254386,5,"Lab",62.5,NA,"5/6/04 6/25/09 F Lab","n","11 v 19",1,0.625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",61,"F","11/29/03","8/26/09",68.98026316,5.748355263,5,"Lab",75,NA,"11/29/03 8/26/09 F Lab","n","11 v 19",1,0.75,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",63,"M","1/31/06","6/25/09",40.82,3.401864035,3,"Lab",62.5,NA,"1/31/06 6/25/09 M Lab","n","11 v 19",1,0.625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",67,NA,"5/28/09","5/21/13",47.82894737,3.985745614,3,"KA",50,1,"5/28/09 5/21/13 NA KA","n","11 v 19",1,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",68,"F","4/26/04","8/26/09",64.07894737,5.339912281,5,"Lab",62.5,NA,"4/26/04 8/26/09 F Lab","n","11 v 19",1,0.625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",70,"F","3/23/05","6/29/09",51.28,4.273574561,4,"Lab",56.25,NA,"3/23/05 6/29/09 F Lab","n","11 v 19",0,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",74,NA,"5/6/10","5/21/13",36.54605263,3.045504386,3,"KA",56.3,1,"5/6/10 5/21/13 NA KA","n","11 v 19",1,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",75,"M","4/24/04","9/10/09",64.63815789,5.386513158,5,"Lab",93.75,NA,"4/24/04 9/10/09 M Lab","n","11 v 19",1,0.9375,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",77,"M","12/27/02","6/29/09",78.16,6.513157895,6,"Lab",93.75,NA,"12/27/02 6/29/09 M Lab","n","11 v 19",1,0.9375,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",81,NA,"11/8/09","5/21/13",42.43421053,3.536184211,3,"KA",50,1,"11/8/09 5/21/13 NA KA","n","11 v 19",0,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",82,"M","2/8/04","9/11/09",67.17105263,5.597587719,5,"Lab",50,NA,"2/8/04 9/11/09 M Lab","n","11 v 19",1,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",84,"M","6/22/04","6/29/09",60.3,5.024671053,5,"Lab",56.25,NA,"6/22/04 6/29/09 M Lab","n","11 v 19",1,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",88,NA,"9/20/09","5/22/13",44.07894737,3.673245614,3,"KA",31.3,1,"9/20/09 5/22/13 NA KA","n","11 v 19",0,0.3125,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",89,"M","4/28/04","9/24/09",64.96710526,5.413925439,5,"Lab",50,NA,"4/28/04 9/24/09 M Lab","n","11 v 19",1,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",91,"M","3/7/06","7/1/09",39.87,3.322368421,3,"Lab",50,NA,"3/7/06 7/1/09 M Lab","n","11 v 19",1,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",95,NA,"10/4/07","5/22/13",67.66447368,5.63870614,5,"KA",93.8,1,"10/4/07 5/22/13 NA KA","n","11 v 19",1,0.9375,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",96,"F","8/16/04","10/7/09",61.77631579,5.148026316,5,"Lab",56.25,NA,"8/16/04 10/7/09 F Lab","n","11 v 19",1,0.5625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",98,"M","1/13/04","7/1/09",65.66,5.471491228,5,"Lab",43.75,NA,"1/13/04 7/1/09 M Lab","n","11 v 19",1,0.4375,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",100,NA,"7/2/08","5/22/13",58.71710526,4.893092105,4,"KA",81.2,1,"7/2/08 5/22/13 NA KA","n","11 v 19",1,0.8125,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",103,"F","1/12/04","10/5/09",68.84868421,5.737390351,5,"Lab",87.5,NA,"1/12/04 10/5/09 F Lab","n","11 v 19",1,0.875,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",105,"F","7/29/05","6/30/09",47.11,3.925438596,3,"Lab",75,NA,"7/29/05 6/30/09 F Lab","n","11 v 19",0,0.75,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",107,NA,"5/17/09","5/22/13",48.22368421,4.018640351,4,"KA",62.5,1,"5/17/09 5/22/13 NA KA","n","11 v 19",1,0.625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",110,"M","6/19/04","10/14/09",63.91447368,5.32620614,5,"Lab",68.75,NA,"6/19/04 10/14/09 M Lab","n","11 v 19",1,0.6875,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",112,"F","7/28/03","6/30/09",71.18,5.932017544,5,"Lab",75,NA,"7/28/03 6/30/09 F Lab","n","11 v 19",1,0.75,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",114,NA,"9/19/10","5/22/13",32.10526316,2.675438596,2,"KA",43.8,1,"9/19/10 5/22/13 NA KA","n","11 v 19",0,0.4375,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",117,"M","2/20/03","10/22/09",80.13157895,6.677631579,6,"Lab",93.75,NA,"2/20/03 10/22/09 M Lab","n","11 v 19",1,0.9375,4,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",119,"F","4/15/05","7/1/09",50.59,4.216008772,4,"Lab",62.5,NA,"4/15/05 7/1/09 F Lab","n","11 v 19",1,0.625,2,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Block and Abacus Data/sheet: Combined data",123,"F","3/25/03","10/28/09",79.24342105,6.603618421,6,"Lab",75,NA,"3/25/03 10/28/09 F Lab","n","11 v 19",1,0.75,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap Mapping Data/sheet: combined data",125,"F","7/28/03","30-Jun",71.18,5.932017544,5,"Lab",81.25,NA,"7/28/03 30-Jun F Lab","n","11 v 19",0,0.8125,3,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
"Meap 3 Data only/sheet: combined data",126,NA,"2/16/08","5/23/13",63.25657895,5.271381579,5,"PLW",50,1,"2/16/08 5/23/13 NA PLW","n","11 v 19",0,0.5,1,2,"2v2","n","y","n","n","teens","M-SP-no-T",11,19,"teen","decade","teen_decade","teen_decade","Neither","More"
